lr_multiplier	localization_multiplier	chain	seed	accepted	reason	llc	trained_loss	mean_sample_loss	loss_sd	mean_distance	max_distance	max_diagnostic_loss	n_beta	n	device	requested_batch_size	effective_batch_size	diagnostic_passed	diagnostic_rhat	diagnostic_ess	diagnostic_reason	estimate_rejected	rejection_reason
1.0	1.0	0	2026	True		0.004557001952679735	0.00808642929128851	0.008095594678481576	0.0016277484215060528	1.1493574230670929	1.152126669883728	0.008220767801588383	497.19688396004585	4141	cuda	128	101	True	0.9990061017230513	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	1	2027	True		-0.003823733788070878	0.00808642929128851	0.008078738708520541	0.002776725532145964	1.149405290722847	1.1514984369277954	0.008179287773648543	497.19688396004585	4141	cuda	128	101	True	0.9990061017230513	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	2	2028	True		0.006346206129164854	0.00808642929128851	0.008099193261325126	0.004382498229998818	1.1494357541799545	1.151639461517334	0.008223221512937338	497.19688396004585	4141	cuda	128	101	True	0.9990061017230513	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	3	2029	True		0.001666553954033965	0.00808642929128851	0.008089781190722714	0.0036308762698406974	1.1493717588186263	1.1517661809921265	0.008200454443110213	497.19688396004585	4141	cuda	128	101	True	0.9990061017230513	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	0	2026	True		0.005783034443409872	0.00808642929128851	0.0080980605678109	0.001630512534541605	1.1472035781145096	1.149864912033081	0.008258115637852241	497.19688396004585	4141	cuda	128	101	True	0.9990142902071919	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	1	2027	True		-0.0071084045907951685	0.00808642929128851	0.008072132330024033	0.0027743196839931177	1.1472354301214218	1.149308204650879	0.008210907605888475	497.19688396004585	4141	cuda	128	101	True	0.9990142902071919	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	2	2028	True		0.008892844515366753	0.00808642929128851	0.008104315253172538	0.004386876962840695	1.1471799013614654	1.1491490602493286	0.008231134984018836	497.19688396004585	4141	cuda	128	101	True	0.9990142902071919	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	3	2029	True		0.001661491202425697	0.00808642929128851	0.00808977100813354	0.003631716471256548	1.1472011145353318	1.149499773979187	0.008187057898869926	497.19688396004585	4141	cuda	128	101	True	0.9990142902071919	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	0	2026	True		0.0036454908524996728	0.00808642929128851	0.008093761378375348	0.0016273748926374058	1.1537281906604766	1.1563864946365356	0.008210212478053884	497.19688396004585	4141	cuda	128	101	True	0.9990024562836396	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	1	2027	True		-0.0012881643115247646	0.00808642929128851	0.008083838437739178	0.0027782082448576154	1.1537794473171235	1.1563743352890015	0.008179607496396034	497.19688396004585	4141	cuda	128	101	True	0.9990024562836396	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	2	2028	True		0.004796056963744609	0.00808642929128851	0.00809607548401109	0.004379873095618485	1.1538465011119843	1.156284213066101	0.008221330210670875	497.19688396004585	4141	cuda	128	101	True	0.9990024562836396	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	3	2029	True		0.0018927418907316242	0.00808642929128851	0.008090236117018503	0.0036303697538592646	1.1537486295700072	1.1559042930603027	0.008203508013459515	497.19688396004585	4141	cuda	128	101	True	0.9990024562836396	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	0	2026	True		0.009633008523482124	0.00808642929128851	0.00810580392703996	0.0016305110879361094	1.6223907787799836	1.6261545419692993	0.008335889814355414	497.19688396004585	4141	cuda	128	101	True	0.9990305867371049	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	1	2027	True		-0.00892945427194324	0.00808642929128851	0.008068469697091494	0.0027707972134823175	1.6224358369112015	1.6253671646118164	0.008265247075950947	497.19688396004585	4141	cuda	128	101	True	0.9990305867371049	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	2	2028	True		0.014273648609191504	0.00808642929128851	0.008115137533575761	0.004393819182566135	1.6223572952747345	1.625141978263855	0.008296847838231026	497.19688396004585	4141	cuda	128	101	True	0.9990305867371049	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	3	2029	True		0.0037737799874293545	0.00808642929128851	0.008094019403192213	0.0036357814259473805	1.622387300014496	1.6256381273269653	0.008231888663053397	497.19688396004585	4141	cuda	128	101	True	0.9990305867371049	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	0	2026	True		0.0019862317120187194	0.00808642929128851	0.00809042415082222	0.0016286870658851044	0.8158089970946312	0.8176887035369873	0.008171350549230884	497.19688396004585	4141	cuda	128	101	True	0.9990007054597029	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	1	2027	True		-0.001235852978192799	0.00808642929128851	0.008083943650251604	0.002779627566919449	0.8158452416658402	0.8176801204681396	0.008150374685521863	497.19688396004585	4141	cuda	128	101	True	0.9990007054597029	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	2	2028	True		0.0026624037915386695	0.00808642929128851	0.008091784119280056	0.0043771991775388005	0.8158926575779915	0.8176164031028748	0.008180278899682026	497.19688396004585	4141	cuda	128	101	True	0.9990007054597029	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	3	2029	True		0.0008168117267720031	0.00808642929128851	0.008088072124848258	0.003628331594333728	0.8158234512805939	0.8173477649688721	0.008167962274007883	497.19688396004585	4141	cuda	128	101	True	0.9990007054597029	4000.0		True	sensitivity_exceeds_10_percent
