lr_multiplier	localization_multiplier	chain	seed	accepted	reason	llc	trained_loss	mean_sample_loss	loss_sd	mean_distance	max_distance	max_diagnostic_loss	n_beta	n	device	requested_batch_size	effective_batch_size	diagnostic_passed	diagnostic_rhat	diagnostic_ess	diagnostic_reason	estimate_rejected	rejection_reason
1.0	1.0	0	2026	False	left_trained_basin	0.027711882669220197	0.00808642929128851	0.008142165526899043	0.0016371349967151947	4.176685324668885	4.18563985824585	0.008475140999283834	497.19688396004585	4141	cuda	128	101	True	0.9990027151860813	4000.0		True	invalid_sensitivity_chains
1.0	1.0	1	2027	False	left_trained_basin	0.03260101752154159	0.00808642929128851	0.008151998924915098	0.002770837475472548	4.176743480205536	4.184924125671387	0.008715706062587498	497.19688396004585	4141	cuda	128	101	True	0.9990027151860813	4000.0		True	invalid_sensitivity_chains
1.0	1.0	2	2028	False	left_trained_basin	0.028478083787111225	0.00808642929128851	0.00814370656857209	0.004360904263871692	4.176641321182251	4.185982704162598	0.00850163567590846	497.19688396004585	4141	cuda	128	101	True	0.9990027151860813	4000.0		True	invalid_sensitivity_chains
1.0	1.0	3	2029	False	left_trained_basin	0.03397058052841252	0.00808642929128851	0.00815475349368062	0.0036631957359727573	4.176534588336945	4.184700012207031	0.00856260608983368	497.19688396004585	4141	cuda	128	101	True	0.9990027151860813	4000.0		True	invalid_sensitivity_chains
0.5	1.0	0	2026	True		0.009991820095334718	0.00808642929128851	0.008106525596027495	0.0016417174422849157	2.6438780286312102	2.6488726139068604	0.008433302426771448	497.19688396004585	4141	cuda	128	101	True	0.9990028451216947	4000.0		True	invalid_sensitivity_chains
0.5	1.0	1	2027	True		0.0131664719545105	0.00808642929128851	0.008112910696098699	0.002783952270344564	2.6439087901115417	2.648975133895874	0.008468466643779296	497.19688396004585	4141	cuda	128	101	True	0.9990028451216947	4000.0		True	invalid_sensitivity_chains
0.5	1.0	2	2028	True		0.011853548890322713	0.00808642929128851	0.008110270045872312	0.004367111574190992	2.6439252259731294	2.6494109630584717	0.008303068302962204	497.19688396004585	4141	cuda	128	101	True	0.9990028451216947	4000.0		True	invalid_sensitivity_chains
0.5	1.0	3	2029	True		0.01821403247250423	0.00808642929128851	0.008123062731802928	0.0036426154699803976	2.6438749356269837	2.6490416526794434	0.00835087891435082	497.19688396004585	4141	cuda	128	101	True	0.9990028451216947	4000.0		True	invalid_sensitivity_chains
2.0	1.0	0	2026	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
2.0	1.0	1	2027	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
2.0	1.0	2	2028	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
2.0	1.0	3	2029	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
1.0	0.5	0	2026	False	left_trained_basin	0.02141723283445097	0.00808642929128851	0.008129505250783405	0.0016484674920358656	3.7389998226165773	3.746060848236084	0.008600035528936872	497.19688396004585	4141	cuda	128	101	True	0.9990074762529034	4000.0		True	invalid_sensitivity_chains
1.0	0.5	1	2027	False	left_trained_basin	0.0266010754483014	0.00808642929128851	0.008139931387352408	0.0027861364044455906	3.739043074607849	3.7462053298950195	0.008652175476415178	497.19688396004585	4141	cuda	128	101	True	0.9990074762529034	4000.0		True	invalid_sensitivity_chains
1.0	0.5	2	2028	False	left_trained_basin	0.02323659354691773	0.00808642929128851	0.008133164486734314	0.004362957827515639	3.739066204547882	3.7468230724334717	0.0084108270621982	497.19688396004585	4141	cuda	128	101	True	0.9990074762529034	4000.0		True	invalid_sensitivity_chains
1.0	0.5	3	2029	False	left_trained_basin	0.03422395615164145	0.00808642929128851	0.008155263101909076	0.003658151572505679	3.738995049715042	3.7463037967681885	0.008499949646943205	497.19688396004585	4141	cuda	128	101	True	0.9990074762529034	4000.0		True	invalid_sensitivity_chains
1.0	2.0	0	2026	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
1.0	2.0	1	2027	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
1.0	2.0	2	2028	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
1.0	2.0	3	2029	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
