lr_multiplier	localization_multiplier	chain	seed	accepted	reason	llc	trained_loss	mean_sample_loss	loss_sd	mean_distance	max_distance	max_diagnostic_loss	n_beta	n	device	requested_batch_size	effective_batch_size	diagnostic_passed	diagnostic_rhat	diagnostic_ess	diagnostic_reason	estimate_rejected	rejection_reason
1.0	1.0	0	2026	True		0.0003770725889722156	0.00808642929128851	0.008087187688215636	0.0016324829427180432	0.6873686074018478	0.6887333393096924	0.008149746767645785	497.19688396004585	4141	cuda	128	101	True	0.998999658311434	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	1	2027	True		0.0010520547758360171	0.00808642929128851	0.008088545263471313	0.002782268339547027	0.6873958327770233	0.6886603236198425	0.008180049322482556	497.19688396004585	4141	cuda	128	101	True	0.998999658311434	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	2	2028	True		0.0010334480218560174	0.00808642929128851	0.008088507840159583	0.004373643556509733	0.6874201137423516	0.6887122392654419	0.00815173039161995	497.19688396004585	4141	cuda	128	101	True	0.998999658311434	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	3	2029	True		0.0012080025762778186	0.00808642929128851	0.008088858917489415	0.003626851366078948	0.6873776851296425	0.6887713074684143	0.008180546276748137	497.19688396004585	4141	cuda	128	101	True	0.998999658311434	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	0	2026	True		0.0007961962314378368	0.00808642929128851	0.008088030661403898	0.0016309174108352714	0.6738533002734184	0.6753119826316833	0.0081411368606949	497.19688396004585	4141	cuda	128	101	True	0.9989997088469966	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	1	2027	True		0.00036414788939316566	0.00808642929128851	0.008087161693081725	0.002781279442057198	0.673878482401371	0.6752989292144775	0.008157963513881795	497.19688396004585	4141	cuda	128	101	True	0.9989997088469966	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	2	2028	True		0.0012423105482904304	0.00808642929128851	0.008088927920279093	0.004374669668565627	0.6739155110120774	0.6753057241439819	0.008157200040779262	497.19688396004585	4141	cuda	128	101	True	0.9989997088469966	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	3	2029	True		0.0007974411200445687	0.00808642929128851	0.008088033165218075	0.0036270966238326832	0.6738616793155671	0.6753115057945251	0.008173131053573238	497.19688396004585	4141	cuda	128	101	True	0.9989997088469966	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	0	2026	True		4.1396522533631274e-05	0.00808642929128851	0.008086512551107445	0.0016340730026321159	0.7170245475769043	0.7185260653495789	0.008149342882664876	497.19688396004585	4141	cuda	128	101	True	0.9989997396081218	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	1	2027	True		0.0013411595141393463	0.00808642929128851	0.008089126732799923	0.002783084487090948	0.717055960893631	0.7185301780700684	0.00819394069070892	497.19688396004585	4141	cuda	128	101	True	0.9989997396081218	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	2	2028	True		0.0009440435129644224	0.00808642929128851	0.008088328023045325	0.004372559301001729	0.7170631262660027	0.7183192372322083	0.00814662828224634	497.19688396004585	4141	cuda	128	101	True	0.9989997396081218	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	3	2029	True		0.0017098902900032702	0.00808642929128851	0.008089868352041233	0.00362664223451223	0.7170389960408211	0.7185133099555969	0.00817251545677321	497.19688396004585	4141	cuda	128	101	True	0.9989997396081218	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	0	2026	True		0.001774688174227949	0.00808642929128851	0.008089998678449775	0.001630311919349871	0.9529724006652832	0.9550352692604065	0.008166405086470123	497.19688396004585	4141	cuda	128	101	True	0.999000106400549	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	1	2027	True		0.0007728281790784812	0.00808642929128851	0.00808798366180854	0.0027805269368110647	0.9530080124139786	0.9550168514251709	0.008189095642558908	497.19688396004585	4141	cuda	128	101	True	0.999000106400549	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	2	2028	True		0.0025682273919817385	0.00808642929128851	0.008091594704578164	0.004376225318825363	0.9530603768229484	0.9550264477729797	0.00818793568467783	497.19688396004585	4141	cuda	128	101	True	0.999000106400549	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	3	2029	True		0.0016456207393699444	0.00808642929128851	0.008089739088257194	0.0036284072745984192	0.9529842491745949	0.9550345540046692	0.008210494473803247	497.19688396004585	4141	cuda	128	101	True	0.999000106400549	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	0	2026	True		-0.00027479934031733074	0.00808642929128851	0.008085876594058936	0.00163374281630926	0.5070129041671753	0.5080746412277222	0.008130105291046805	497.19688396004585	4141	cuda	128	101	True	0.9989996760030406	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	1	2027	True		0.000905684773584435	0.00808642929128851	0.008088250873045762	0.002783116914590183	0.5070351188182831	0.5080775022506714	0.008161924104706673	497.19688396004585	4141	cuda	128	101	True	0.9989996760030406	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	2	2028	True		0.0002678257448114502	0.00808642929128851	0.008086967962695053	0.004372214345554103	0.5070401858687401	0.5079283714294434	0.008128833179527423	497.19688396004585	4141	cuda	128	101	True	0.9989996760030406	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	3	2029	True		0.0009957011373896874	0.00808642929128851	0.008088431920768926	0.003625988193262946	0.5070231248140336	0.5080656409263611	0.008146913696518557	497.19688396004585	4141	cuda	128	101	True	0.9989996760030406	4000.0		True	sensitivity_exceeds_10_percent
