condition	features	probe	seed	bits_per_label	total_bits	marginal_bits	compression	evaluation_bits_per_label
jtb	3	linear	2026	0.38217467384702025	1344.4905025938172	3226.5171681439306	0.5832997524797794	0.14265479019302402
jtb	3	linear	2027	0.38925085079547933	1369.3844930984963	3226.51716814393	0.5755843153048396	0.15484775487456096
jtb	3	linear	2028	0.37673280217144584	1325.3459980391465	3226.51716814393	0.589233241612795	0.1215713495383281
jtb	3	linear	2029	0.36539160440458013	1285.447664295313	3226.51716814393	0.6015990006230858	0.13431928797921897
jtb	3	linear	2030	0.3861853522313895	1358.6000691500283	3226.51716814393	0.5789267503164814	0.15334017585484264
jtb	3	mlp	2026	0.13890120111387572	488.6544255186148	3226.5171681439306	0.8485504957657747	0.09286060799630053
jtb	3	mlp	2027	0.14128351799774783	497.0354163160768	3226.51716814393	0.845952960912959	0.09576216709515867
jtb	3	mlp	2028	0.1361222106349751	478.8779370138424	3226.51716814393	0.8515805396165552	0.09381630261219691
jtb	3	mlp	2029	0.13609856349789187	478.7947463855836	3226.51716814393	0.8516063230306589	0.09358169700141028
jtb	3	mlp	2030	0.1443707058114377	507.8961430446379	3226.51716814393	0.8425868772498094	0.09277574412958459
jtb_luck	4	linear	2026	0.37212561029509417	1309.1378970181413	3226.5171681439306	0.5942566461621436	0.1241556146977392
jtb_luck	4	linear	2027	0.34682144588590647	1220.117846626619	3226.51716814393	0.6218467830659342	0.14309491218886072
jtb_luck	4	linear	2028	0.35940342929704955	1264.3812642670202	3226.51716814393	0.6081281461166494	0.11922799271895948
jtb_luck	4	linear	2029	0.3258644172381405	1146.3910198437784	3226.51716814393	0.6446970649459629	0.12855899965408668
jtb_luck	4	linear	2030	0.3292233196846286	1158.2076386505234	3226.51716814393	0.641034720011489	0.13147002033299812
jtb_luck	4	mlp	2026	0.13921863669762188	489.77116390223375	3226.5171681439306	0.8482043831231256	0.09530326387236428
jtb_luck	4	mlp	2027	0.14076348123878774	495.20592699805525	3226.51716814393	0.8465199776752079	0.09500466280068535
jtb_luck	4	mlp	2028	0.1371677294953474	482.5560723646321	3226.51716814393	0.8504405688185986	0.09525179391834941
jtb_luck	4	mlp	2029	0.1376139753952858	484.12596544061546	3226.51716814393	0.8499540091649005	0.09406841084115761
jtb_luck	4	mlp	2030	0.14346251429430795	504.70112528737536	3226.51716814393	0.8435771145833676	0.09545656691172287
believes	1	linear	2026	0.7533041824583294	2650.124113888403	3226.5171681439306	0.17864248792672643	0.648148277134219
believes	1	linear	2027	0.7995432217379758	2812.7930540741986	3226.51716814393	0.12822622428745	0.646792390103794
believes	1	linear	2028	0.7433849401045174	2615.2282192876924	3226.51716814393	0.18945783239327518	0.6181731241463158
believes	1	linear	2029	0.734062728455134	2582.4326787051614	3226.51716814393	0.1996222105364719	0.6476307898513285
believes	1	linear	2030	0.7736246889761649	2721.611655818148	3226.51716814393	0.15648623144200768	0.6306010128940571
believes	1	mlp	2026	0.5907434468114277	2078.2354458826026	3226.5171681439306	0.3558889236972145	0.5870318036446902
believes	1	mlp	2027	0.5959161522157779	2096.4330234951067	3226.51716814393	0.3502489172555403	0.5826899790705803
believes	1	mlp	2028	0.5980346299633102	2103.8858282109254	3226.51716814393	0.3479390567070201	0.5828708947618517
believes	1	mlp	2029	0.5969495911234205	2100.0686615721934	3226.51716814393	0.34912211771051316	0.5870098505020719
believes	1	mlp	2030	0.5988104915601294	2106.6153093085354	3226.51716814393	0.34709310394886994	0.583362800022502
justified	1	linear	2026	0.5435658075602978	1912.2645109971277	3226.5171681439306	0.40732858021729756	0.32919589389907516
justified	1	linear	2027	0.6225259549193917	2190.04630940642	3226.51716814393	0.32123519098884734	0.3174382629235189
justified	1	linear	2028	0.5599168758351343	1969.7875691880024	3226.51716814393	0.3895003601294542	0.2090097992003209
justified	1	linear	2029	0.5048405603291031	1776.0290912377845	3226.51716814393	0.4495522575323986	0.3009726525575588
justified	1	linear	2030	0.5870184355153207	2065.130856142898	3226.51716814393	0.3599504516720502	0.274128519984691
justified	1	mlp	2026	0.14246446596119092	501.1899912514696	3226.5171681439306	0.8446653263773639	0.10008574177367092
justified	1	mlp	2027	0.14483971792533404	509.5461276613251	3226.51716814393	0.842075494687529	0.09974042788462477
justified	1	mlp	2028	0.1418257790744959	498.94309078407656	3226.51716814393	0.8453617120930752	0.10532184228310927
justified	1	mlp	2029	0.13943271270569702	490.5242832986421	3226.51716814393	0.8479709675368569	0.10066128036719502
justified	1	mlp	2030	0.13931410772940545	490.10703099204835	3226.51716814393	0.8481002872599048	0.09975628351507003
true	1	linear	2026	0.5436700626091222	1912.631280258892	3226.5171681439306	0.4072149067909214	0.33153243466873533
true	1	linear	2027	0.6170512280661827	2170.786220336831	3226.51716814393	0.3272045034288207	0.32027012273095884
true	1	linear	2028	0.5644179667443573	1985.622407006649	3226.51716814393	0.3845926416846286	0.21595733340484807
true	1	linear	2029	0.5055879509953038	1778.658411601479	3226.51716814393	0.4487373477623052	0.30474636996693766
true	1	linear	2030	0.5847081871768534	2057.00340248817	3226.51716814393	0.362469407323355	0.277965268257278
true	1	mlp	2026	0.15921054523677872	560.1026981429875	3226.5171681439306	0.8264064100842243	0.11918615916137348
true	1	mlp	2027	0.1634502613827207	575.0180195444115	3226.51716814393	0.8217836789397301	0.11907496412113965
true	1	mlp	2028	0.1577635689928586	555.0122357168765	3226.51716814393	0.8279841058350388	0.11905692365032144
true	1	mlp	2029	0.15698243430729739	552.2642038930722	3226.51716814393	0.8288358080515763	0.11887975669771206
true	1	mlp	2030	0.15532505851314765	546.4335558492535	3226.51716814393	0.8306429108004431	0.1169973350683864
lucky_guessed	1	linear	2026	0.9032172888731489	3177.5184222557377	3226.5171681439306	0.01518626535509171	0.6353037873516109
lucky_guessed	1	linear	2027	0.865217257526019	3043.8343119765345	3226.51716814393	0.056619210947042586	0.6422281216249737
lucky_guessed	1	linear	2028	0.8626119742925671	3034.668925561251	3226.51716814393	0.059459854879074125	0.6649561225672185
lucky_guessed	1	linear	2029	0.8522867144443647	2998.344661415275	3226.51716814393	0.07071789636870662	0.6519076603335017
lucky_guessed	1	linear	2030	0.8371714522240402	2945.1691689241734	3226.51716814393	0.08719866796233522	0.6418023201045345
lucky_guessed	1	mlp	2026	0.7168703094027042	2521.9497484787134	3226.5171681439306	0.21836778884103158	0.6000060607917219
lucky_guessed	1	mlp	2027	0.7179942254142525	2525.9036850073403	3226.51716814393	0.21714233851097753	0.6017982858149962
lucky_guessed	1	mlp	2028	0.7172901508663915	2523.4267507479653	3226.51716814393	0.21791001899438867	0.5958610791395105
lucky_guessed	1	mlp	2029	0.7119538296320479	2504.6535726455445	3226.51716814393	0.22372842228316459	0.6037410822032113
lucky_guessed	1	mlp	2030	0.7360195879711585	2589.3169104825356	3226.51716814393	0.19748856877397214	0.595765628225911
believes_justified	2	linear	2026	0.49460737469568805	1740.0287441794305	3226.5171681439306	0.46070990684348645	0.25871818444136485
believes_justified	2	linear	2027	0.5187239302803365	1824.8707867262237	3226.51716814393	0.4344146670770732	0.20430830978737471
believes_justified	2	linear	2028	0.5662947484670571	1992.2249251071066	3226.51716814393	0.38254631192520705	0.20778325818878532
believes_justified	2	linear	2029	0.589813962281797	2074.9655193073622	3226.51716814393	0.35690237764921107	0.18698321843761445
believes_justified	2	linear	2030	0.5534975387597528	1947.2043413568106	3226.51716814393	0.39649961866561234	0.2519110489181027
believes_justified	2	mlp	2026	0.14251091764307355	501.35340826833277	3226.5171681439306	0.8446146782610369	0.10131569535986386
believes_justified	2	mlp	2027	0.14501244758405862	510.15379060071825	3226.51716814393	0.8418871606704679	0.10066975167688634
believes_justified	2	mlp	2028	0.14083428808365167	495.45502547828653	3226.51716814393	0.8464427741559797	0.10041855445192828
believes_justified	2	mlp	2029	0.14021988119374926	493.29354203960986	3226.51716814393	0.8471126864254749	0.09951213175898833
believes_justified	2	mlp	2030	0.14616204728429508	514.19808234615	3226.51716814393	0.8406337063930935	0.10021505829323277
believes_true	2	linear	2026	0.4924209997033095	1732.3370769562428	3226.5171681439306	0.4630937984586092	0.2573351647533341
believes_true	2	linear	2027	0.5165298998004664	1817.1521874980406	3226.51716814393	0.4368069057746975	0.20480367262066348
believes_true	2	linear	2028	0.5649297906582186	1987.4230035356131	3226.51716814393	0.38403457971404875	0.2102530351844119
believes_true	2	linear	2029	0.5865319286377964	2063.4193249477676	3226.51716814393	0.36048090947095135	0.18934474703382187
believes_true	2	linear	2030	0.5491718753044649	1931.9866573211075	3226.51716814393	0.4012160615799567	0.25006973045877645
believes_true	2	mlp	2026	0.1541211892770504	542.1983438766633	3226.5171681439306	0.8319555373112844	0.1059366543924587
believes_true	2	mlp	2027	0.15856696427154876	557.8385803073086	3226.51716814393	0.8271081320084195	0.10642134644910654
believes_true	2	mlp	2028	0.1525859061872359	536.7972179666958	3226.51716814393	0.8336295175284962	0.10567537643285543
believes_true	2	mlp	2029	0.1523903536259114	536.1092640559564	3226.51716814393	0.8338427362640206	0.10586906909013177
believes_true	2	mlp	2030	0.1586254054717246	558.0441764495272	3226.51716814393	0.8270444112434261	0.10583216951201611
justified_true	2	linear	2026	0.4060352913897958	1428.4321551093017	3226.5171681439306	0.5572835721401062	0.1966424251962589
justified_true	2	linear	2027	0.44777171965225915	1575.2609097366476	3226.51716814393	0.5117766843798248	0.16466007380171493
justified_true	2	linear	2028	0.46700083625381167	1642.9089419409095	3226.51716814393	0.4908104137297986	0.14832903664922556
justified_true	2	linear	2029	0.4688990199454564	1649.5867521681157	3226.51716814393	0.4887407485523938	0.152848710923576
justified_true	2	linear	2030	0.4700290432322084	1653.5621740909091	3226.51716814393	0.4875086392172744	0.1796919561469929
justified_true	2	mlp	2026	0.1393415865137141	490.20370135524615	3226.5171681439306	0.8480703260484312	0.09645900583358946
justified_true	2	mlp	2027	0.14123611182742993	496.8686414088985	3226.51716814393	0.8460046497459908	0.09661362046150124
justified_true	2	mlp	2028	0.1371426386932373	482.46780292280886	3226.51716814393	0.8504679263181014	0.09662138310150264
justified_true	2	mlp	2029	0.13615538458911824	478.99464298451795	3226.51716814393	0.8515443687348914	0.09843696533182465
justified_true	2	mlp	2030	0.14119983112694082	496.7410059045778	3226.51716814393	0.8460442080367635	0.0974201058570954
raw_representation	5120	linear	2026	0.1129497721174964	397.35729830935236	3226.5171681439306	0.876846370993298	0.024765287329944315
raw_representation	5120	linear	2027	0.11151748945087647	392.31852788818344	3226.51716814393	0.8784080457523594	0.030068979338739043
raw_representation	5120	linear	2028	0.13086788256129953	460.3932108506517	3226.51716814393	0.8573095425010568	0.026009643301151943
raw_representation	5120	linear	2029	0.12402177170392628	436.30859285441267	3226.51716814393	0.8647741294662314	0.02396011857385159
raw_representation	5120	linear	2030	0.11750341943570872	413.37702957482327	3226.51716814393	0.8718813482053714	0.026255651060761224
raw_representation	5120	mlp	2026	0.13277620114816965	467.10667563926086	3226.5171681439306	0.8552288268442823	0.016355396245206932
raw_representation	5120	mlp	2027	0.1450731228674526	510.3672462476983	3226.51716814393	0.8418210039956832	0.023638866275522585
raw_representation	5120	mlp	2028	0.10950132663497728	385.22566710185004	3226.51716814393	0.8806063482614435	0.01816885551146918
raw_representation	5120	mlp	2029	0.11833796223468813	416.3129511416329	3226.51716814393	0.8709714129985184	0.01875364001136534
raw_representation	5120	mlp	2030	0.13979338582020778	491.79313131549094	3226.51716814393	0.8475777112946845	0.020088599379750903
random_three_dimensions	3	linear	2026	0.7786404968040246	2739.2572677565586	3226.5171681439306	0.15101729666842922	0.6676207640227074
random_three_dimensions	3	linear	2027	0.8034966553260404	2826.70123343701	3226.51716814393	0.12391563840241893	0.6701734077420622
random_three_dimensions	3	linear	2028	0.8095180847403303	2847.8846221164818	3226.51716814393	0.11735023441553816	0.6670862965041376
random_three_dimensions	3	linear	2029	0.8091823438238243	2846.7034855722136	3226.51716814393	0.11771630609057204	0.6684865140214931
random_three_dimensions	3	linear	2030	0.820820695018842	2887.6472050762864	3226.51716814393	0.10502654887857932	0.6683940640572982
random_three_dimensions	3	mlp	2026	0.6102429148753072	2146.834574531331	3226.5171681439306	0.3346278780948475	0.5103282535276338
random_three_dimensions	3	mlp	2027	0.6254513469468175	2200.337838558904	3226.51716814393	0.318045519706731	0.5105905938029196
random_three_dimensions	3	mlp	2028	0.6231198903200438	2192.135774145914	3226.51716814393	0.3205875995983152	0.5095894980824424
random_three_dimensions	3	mlp	2029	0.6153402809980433	2164.767108551116	3226.51716814393	0.3290700170684636	0.5111917501693273
random_three_dimensions	3	mlp	2030	0.6172821168727574	2171.5984871583605	3226.51716814393	0.32695275617963526	0.5088715490066335
shuffled_components	3	linear	2026	0.8737270171938004	3073.77164648779	3226.5171681439306	0.04734068151387161	0.842774101670336
shuffled_components	3	linear	2027	0.8862860448995237	3117.9543059565244	3226.51716814393	0.03364707408324652	0.8470024509404868
shuffled_components	3	linear	2028	0.8711191670365053	3064.5972296344257	3226.51716814393	0.05018412426506613	0.8441320851152682
shuffled_components	3	linear	2029	0.8839969048239658	3109.9011111707114	3226.51716814393	0.03614301455594071	0.8462240666677063
shuffled_components	3	linear	2030	0.9017884411237874	3172.4917358734842	3226.51716814393	0.016744194887245656	0.843323609327465
shuffled_components	3	mlp	2026	0.8485300272284815	2985.128635789798	3226.5171681439306	0.07481396185875322	0.8521977049848454
shuffled_components	3	mlp	2027	0.8551614770567931	3008.458076285798	3226.51716814393	0.06758342835149755	0.8400162700927247
shuffled_components	3	mlp	2028	0.8466565754945685	2978.537832589892	3226.51716814393	0.07685666079895359	0.8385027660952586
shuffled_components	3	mlp	2029	0.8522555603911319	2998.2350614560023	3226.51716814393	0.0707518648720683	0.8396248791648848
shuffled_components	3	mlp	2030	0.8553536744008843	3009.134226542311	3226.51716814393	0.067373867942773	0.8362277434817675
