lr_multiplier	localization_multiplier	chain	seed	accepted	reason	llc	trained_loss	mean_sample_loss	loss_sd	mean_distance	max_distance	max_diagnostic_loss	n_beta	n	device	requested_batch_size	effective_batch_size	diagnostic_passed	diagnostic_rhat	diagnostic_ess	diagnostic_reason	estimate_rejected	rejection_reason
1.0	1.0	0	2026	True		0.00047533239228571137	0.00808642929128851	0.008087385315768188	0.0016332514424563626	0.7234421690106392	0.7249860167503357	0.008145041542478127	497.19688396004585	4141	cuda	128	101	True	0.998999815367643	4000.0		True	invalid_sensitivity_chains
1.0	1.0	1	2027	True		0.001523716775255421	0.00808642929128851	0.00808949390577909	0.0027816169595738837	0.7234531387686729	0.7248630523681641	0.008175146137853372	497.19688396004585	4141	cuda	128	101	True	0.998999815367643	4000.0		True	invalid_sensitivity_chains
1.0	1.0	2	2028	True		5.6921859444787364e-05	0.00808642929128851	0.00808654377683997	0.004369642829419711	0.7234349718093872	0.7250528931617737	0.008149643798139008	497.19688396004585	4141	cuda	128	101	True	0.998999815367643	4000.0		True	invalid_sensitivity_chains
1.0	1.0	3	2029	True		0.00125389517195865	0.00808642929128851	0.008088951220150919	0.0036275852577476895	0.7234166659116745	0.7248321175575256	0.008154453419596929	497.19688396004585	4141	cuda	128	101	True	0.998999815367643	4000.0		True	invalid_sensitivity_chains
0.5	1.0	0	2026	True		-0.00030041248522774775	0.00808642929128851	0.008085825078963535	0.0016339939429520648	0.45793429723381995	0.45879992842674255	0.008140844561697579	497.19688396004585	4141	cuda	128	101	True	0.9989997365970867	4000.0		True	invalid_sensitivity_chains
0.5	1.0	1	2027	True		0.0007582522899660433	0.00808642929128851	0.00808795434567728	0.0027829834018726564	0.45793968415260317	0.45881783962249756	0.00814628866189662	497.19688396004585	4141	cuda	128	101	True	0.9989997365970867	4000.0		True	invalid_sensitivity_chains
0.5	1.0	2	2028	True		-7.532738042203589e-05	0.00808642929128851	0.008086277787160362	0.004371253191521635	0.4579425442814827	0.4588930010795593	0.008119615957597925	497.19688396004585	4141	cuda	128	101	True	0.9989997365970867	4000.0		True	invalid_sensitivity_chains
0.5	1.0	3	2029	True		0.0010992832770771728	0.00808642929128851	0.008088640253007179	0.00362606005325769	0.4579338988363743	0.4588284492492676	0.008122897757529004	497.19688396004585	4141	cuda	128	101	True	0.9989997365970867	4000.0		True	invalid_sensitivity_chains
2.0	1.0	0	2026	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
2.0	1.0	1	2027	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
2.0	1.0	2	2028	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
2.0	1.0	3	2029	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
1.0	0.5	0	2026	True		-6.281692598498983e-05	0.00808642929128851	0.008086302949133095	0.0016343583074083102	0.6476168318986892	0.6488409042358398	0.008164081099966936	497.19688396004585	4141	cuda	128	101	True	0.9989997949377254	4000.0		True	invalid_sensitivity_chains
1.0	0.5	1	2027	True		0.0010785510437723014	0.00808642929128851	0.008088598554770577	0.0027828925122396677	0.6476244434118271	0.6488662362098694	0.008171864121115976	497.19688396004585	4141	cuda	128	101	True	0.9989997949377254	4000.0		True	invalid_sensitivity_chains
1.0	0.5	2	2028	True		0.0003946473766261292	0.00808642929128851	0.008087223035958595	0.004371118211265691	0.6476284887194633	0.6489725708961487	0.008133892353153609	497.19688396004585	4141	cuda	128	101	True	0.9989997949377254	4000.0		True	invalid_sensitivity_chains
1.0	0.5	3	2029	True		0.001807819372389026	0.00808642929128851	0.008090065314422827	0.003626737590199929	0.6476162494421005	0.6488813757896423	0.0081391319744082	497.19688396004585	4141	cuda	128	101	True	0.9989997949377254	4000.0		True	invalid_sensitivity_chains
1.0	2.0	0	2026	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
1.0	2.0	1	2027	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
1.0	2.0	2	2028	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
1.0	2.0	3	2029	False	incomplete_or_nonfinite_trace		0.00808642929128851						497.19688396004585	4141	cuda	128	101	False			missing_or_nonfinite_traces	True	invalid_sensitivity_chains
