lr_multiplier	localization_multiplier	chain	seed	accepted	reason	llc	trained_loss	mean_sample_loss	loss_sd	mean_distance	max_distance	max_diagnostic_loss	n_beta	n	device	requested_batch_size	effective_batch_size	diagnostic_passed	diagnostic_rhat	diagnostic_ess	diagnostic_reason	estimate_rejected	rejection_reason
1.0	1.0	0	2026	True		-0.00018226962712643855	0.00808642929128851	0.00808606269682059	0.001632720933410422	0.3764873059689999	0.3772347867488861	0.00811985752031844	497.19688396004585	4141	cuda	128	101	True	0.9989995891090915	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	1	2027	True		0.0006110050873957855	0.00808642929128851	0.008087658190960063	0.002782708914306245	0.37650221744179724	0.3771947920322418	0.008137171722335017	497.19688396004585	4141	cuda	128	101	True	0.9989995891090915	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	2	2028	True		7.711321852996806e-06	0.00808642929128851	0.0080864448008826	0.004372562157165786	0.376515518784523	0.37722325325012207	0.008121719533940554	497.19688396004585	4141	cuda	128	101	True	0.9989995891090915	4000.0		True	sensitivity_exceeds_10_percent
1.0	1.0	3	2029	True		0.0004290552272238308	0.00808642929128851	0.008087292239631642	0.003625831966641117	0.37649227905273436	0.3772555887699127	0.008137351693169445	497.19688396004585	4141	cuda	128	101	True	0.9989995891090915	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	0	2026	True		6.102556508137714e-05	0.00808642929128851	0.008086552030523308	0.001631850921357289	0.3690846556723118	0.36988356709480286	0.008115297131666784	497.19688396004585	4141	cuda	128	101	True	0.9989995447785984	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	1	2027	True		0.00024985594887907335	0.00808642929128851	0.008086931820481551	0.0027821678052216657	0.3690984466969967	0.3698764443397522	0.008124975421468407	497.19688396004585	4141	cuda	128	101	True	0.9989995447785984	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	2	2028	True		0.00012454172936029187	0.00808642929128851	0.008086679779039697	0.004373107082091388	0.3691187288761139	0.36988016963005066	0.008124597385018322	497.19688396004585	4141	cuda	128	101	True	0.9989995447785984	4000.0		True	sensitivity_exceeds_10_percent
0.5	1.0	3	2029	True		0.00021640151095312136	0.00808642929128851	0.008086864534384222	0.003625966553801107	0.3690892440676689	0.36988329887390137	0.008133305588895011	497.19688396004585	4141	cuda	128	101	True	0.9989995447785984	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	0	2026	True		-0.0003779718103852112	0.00808642929128851	0.008085669085779226	0.001633605287145847	0.3927305364906788	0.3935529589653015	0.008120011191916793	497.19688396004585	4141	cuda	128	101	True	0.998999661405741	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	1	2027	True		0.0007422671567510065	0.00808642929128851	0.008087922195167631	0.0027831493569275244	0.39274774423241615	0.3935551941394806	0.008144686662921926	497.19688396004585	4141	cuda	128	101	True	0.998999661405741	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	2	2028	True		-3.951523746969486e-05	0.00808642929128851	0.008086349815252468	0.004372028936192105	0.3927516704797745	0.3934396505355835	0.008119205888689097	497.19688396004585	4141	cuda	128	101	True	0.998999661405741	4000.0		True	sensitivity_exceeds_10_percent
2.0	1.0	3	2029	True		0.000680822841844003	0.00808642929128851	0.008087798613711493	0.0036256943911480437	0.39273845368623733	0.3935459554195404	0.00813311405625645	497.19688396004585	4141	cuda	128	101	True	0.998999661405741	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	0	2026	True		0.00038628228502056986	0.00808642929128851	0.008087206211453302	0.0016313474421568324	0.5219645006656647	0.5230943560600281	0.00812803146574872	497.19688396004585	4141	cuda	128	101	True	0.9989995919968814	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	1	2027	True		0.000263844236803724	0.00808642929128851	0.008086959954784834	0.002781713394602384	0.5219840050339699	0.523084282875061	0.00814138791701322	497.19688396004585	4141	cuda	128	101	True	0.9989995919968814	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	2	2028	True		0.0006422376070116389	0.00808642929128851	0.008087721008167136	0.004373873204758046	0.5220126867294311	0.5230895280838013	0.008140830034774676	497.19688396004585	4141	cuda	128	101	True	0.9989995919968814	4000.0		True	sensitivity_exceeds_10_percent
1.0	0.5	3	2029	True		0.0004628588024706755	0.00808642929128851	0.008087360227940373	0.003626494159506317	0.5219709894657135	0.5230939388275146	0.008153159771383572	497.19688396004585	4141	cuda	128	101	True	0.9989995919968814	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	0	2026	True		-0.00043290625637271965	0.00808642929128851	0.008085558597464114	0.0016334967349616032	0.2777024168372154	0.278283953666687	0.0081099981117784	497.19688396004585	4141	cuda	128	101	True	0.9989996610268306	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	1	2027	True		0.0006300785168785293	0.00808642929128851	0.008087696552884882	0.0027831916639823864	0.27771458446979524	0.27828553318977356	0.008127465350267767	497.19688396004585	4141	cuda	128	101	True	0.9989996610268306	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	2	2028	True		-0.0003054504448132406	0.00808642929128851	0.008085814946237953	0.0043718441002789645	0.27771736147999765	0.2782038450241089	0.008109554680785358	497.19688396004585	4141	cuda	128	101	True	0.9989996610268306	4000.0		True	sensitivity_exceeds_10_percent
1.0	2.0	3	2029	True		0.0004163130057907548	0.00808642929128851	0.008087266611511587	0.003625442959413864	0.27770801588892935	0.27827900648117065	0.008119319407037709	497.19688396004585	4141	cuda	128	101	True	0.9989996610268306	4000.0		True	sensitivity_exceeds_10_percent
